🧑‍🦯 1F9D1 200D 1F9AF 拄盲杖的人
👨‍🦯 1F468 200D 1F9AF 拄盲杖的男人
👩‍🦯 1F469 200D 1F9AF 拄盲杖的女人
🧑‍🦼 1F9D1 200D 1F9BC 坐电动轮椅的人
👨‍🦼 1F468 200D 1F9BC 坐电动轮椅的男人
👩‍🦼 1F469 200D 1F9BC 坐电动轮椅的女人
🧑‍🦽 1F9D1 200D 1F9BD 坐手动轮椅的人
👨‍🦽 1F468 200D 1F9BD 坐手动轮椅的男人
👩‍🦽 1F469 200D 1F9BD 坐手动轮椅的女人
🏃 1F3C3 跑步者
🏃‍♂ 1F3C3 200D 2642 男生跑步
🏃‍♀ 1F3C3 200D 2640 女生跑步
💃 1F483 跳舞的女人
🕺 1F57A 跳舞的男人
🕴 1F574 西装革履的人
👯 1F46F 戴兔耳朵的人
👯‍♂ 1F46F 200D 2642 兔先生
👯‍♀ 1F46F 200D 2640 兔女郎
🧖 1F9D6 蒸房里的人
🧖‍♂ 1F9D6 200D 2642 蒸房里的男人
🧖‍♀ 1F9D6 200D 2640 蒸房里的女人
🧗 1F9D7 攀爬的人
🧗‍♂ 1F9D7 200D 2642 攀爬的男人
🧗‍♀ 1F9D7 200D 2640 攀爬的女人
🤺 1F93A 击剑选手
🏇 1F3C7 赛马
⛷ 26F7 滑雪的人
🏂 1F3C2 滑雪板
🏌 1F3CC 打高尔夫的人
🏌‍♂ 1F3CC 200D 2642 男生打高尔夫
🏌‍♀ 1F3CC 200D 2640 女生打高尔夫
🏄 1F3C4 冲浪
🏄‍♂ 1F3C4 200D 2642 男生冲浪
🏄‍♀ 1F3C4 200D 2640 女生冲浪
🚣 1F6A3 划艇
🚣‍♂ 1F6A3 200D 2642 男生划船
🚣‍♀ 1F6A3 200D 2640 女生划船
🏊 1F3CA 游泳
🏊‍♂ 1F3CA 200D 2642 男生游泳
🏊‍♀ 1F3CA 200D 2640 女生游泳
⛹ 26F9 玩球
⛹‍♂ 26F9 200D 2642 男生玩球
⛹‍♀ 26F9 200D 2640 女生玩球
🏋 1F3CB 举重
🏋‍♂ 1F3CB 200D 2642 男生举重
🏋‍♀ 1F3CB 200D 2640 女生举重
🚴 1F6B4 骑自行车
🚴‍♂ 1F6B4 200D 2642 男生骑自行车
🚴‍♀ 1F6B4 200D 2640 女生骑自行车
🚵 1F6B5 骑山地车
🚵‍♂ 1F6B5 200D 2642 男生骑山地车
🚵‍♀ 1F6B5 200D 2640 女生骑山地车
🤸 1F938 侧手翻
🤸‍♂ 1F938 200D 2642 男生侧手翻
🤸‍♀ 1F938 200D 2640 女生侧手翻
🤼 1F93C 摔跤选手
🤼‍♂ 1F93C 200D 2642 男生摔跤
🤼‍♀ 1F93C 200D 2640 女生摔跤
🤽 1F93D 水球
🤽‍♂ 1F93D 200D 2642 男生玩水球
🤽‍♀ 1F93D 200D 2640 女生玩水球
🤾 1F93E 手球
🤾‍♂ 1F93E 200D 2642 男生玩手球
🤾‍♀ 1F93E 200D 2640 女生玩手球
🤹 1F939 抛接杂耍
🤹‍♂ 1F939 200D 2642 男生抛接杂耍
🤹‍♀ 1F939 200D 2640 女生抛接杂耍
🧘 1F9D8 盘腿的人
🧘‍♂ 1F9D8 200D 2642 盘腿的男人
🧘‍♀ 1F9D8 200D 2640 盘腿的女人
🛀 1F6C0 洗澡的人
🛌 1F6CC 躺在床上的人
🧑‍🤝‍🧑 1F9D1 200D 1F91D 200D 1F9D1 手拉手的两个人
👭 1F46D 手拉手的两个女人
👫 1F46B 手拉手的一男一女
👬 1F46C 手拉手的两个男人
💏 1F48F 亲吻
👩‍❤‍💋‍👨 1F469 200D 2764 200D 1F48B 200D 1F468 亲吻: 女人男人
👨‍❤‍💋‍👨 1F468 200D 2764 200D 1F48B 200D 1F468 亲吻: 男人男人
👩‍❤‍💋‍👩 1F469 200D 2764 200D 1F48B 200D 1F469 亲吻: 女人女人
💑 1F491 情侣
👩‍❤‍👨 1F469 200D 2764 200D 1F468 情侣: 女人男人
👨‍❤‍👨 1F468 200D 2764 200D 1F468 情侣: 男人男人
👩‍❤‍👩 1F469 200D 2764 200D 1F469 情侣: 女人女人
👪 1F46A 家庭
👨‍👩‍👦 1F468 200D 1F469 200D 1F466 家庭: 男人女人男孩
👨‍👩‍👧 1F468 200D 1F469 200D 1F467 家庭: 男人女人女孩
👨‍👩‍👧‍👦 1F468 200D 1F469 200D 1F467 200D 1F466 家庭: 男人女人女孩男孩
👨‍👩‍👦‍👦 1F468 200D 1F469 200D 1F466 200D 1F466 家庭: 男人女人男孩男孩
👨‍👩‍👧‍👧 1F468 200D 1F469 200D 1F467 200D 1F467 家庭: 男人女人女孩女孩
👨‍👨‍👦 1F468 200D 1F468 200D 1F466 家庭: 男人男人男孩
👨‍👨‍👧 1F468 200D 1F468 200D 1F467 家庭: 男人男人女孩
